Postal District,Neighborhood,Latitude,Longitude
1,Raffles Place,1.2835947,103.851568
1,Cecil,1.2787159,103.84773790000001
1,Marina,1.2904753,103.8520359
1,People's Park,1.2858105,103.8441598
2,Anson,1.2713633,103.8426983
2,Tanjong Pagar,1.2765707,103.845848
3,Bukit Merah,1.2806275,103.8305915
3,Queenstown,1.2946235000000001,103.8060454
3,Tiong Bahru,1.2861968000000001,103.8257646
4,Telok Blangah,1.2705858,103.8098632
4,Harbourfront,1.2654508,103.8226522
5,Pasir Panjang,1.2888336,103.7756574
6,High Street,1.2910042,103.84885030000001
7,Middle Road,1.296006,103.8568593
7,Golden Mile,1.3027466,103.865185983823
8,Little India,1.3065714,103.8492986
8,Farrer Park,1.3127545,103.8543738
8,Jalan Besar,1.3131665000000001,103.8598823
8,Lavender,1.3074447,103.86303050000001
9,Orchard,1.305272,103.8328757
9,Cairnhill,1.3061094,103.8375911
9,River Valley,1.3083982,103.88614890000001
10,Ardmore,1.3088303,103.830130492759
10,Bukit Timah,1.3546901000000002,103.7763724
10,Holland Road,1.3064545,103.81720920000001
10,Tanglin,1.3060443000000002,103.8152804
11,Watten Estate,1.3323061,103.811079
11,Novena,1.3200842,103.84349240000002
11,Thomson,1.3777158,103.8295243
12,Balestier,1.3262260000000001,103.84731490000001
12,Toa Payoh,1.3353906,103.84974140000001
12,Serangoon,1.3498066,103.8737713
13,Macpherson,1.3265672,103.8903059
13,Braddell,1.3355306999999998,103.86206870000001
14,Geylang,1.3181862,103.8870563
14,Eunos,1.3254059,103.90255970000001
15,Katong,1.3057886,103.8976313
15,Joo Chiat,1.3150038,103.906961
15,Amber Road,1.3020299,103.9009782
16,Bedok,1.3239765,103.930216
16,Upper East Coast,1.3104653999999998,103.9235132
16,Eastwood,1.32234485,103.95490603749901
16,Kew Drive,1.3202439,103.95171359999999
17,Loyang,1.3753678,103.97729240000001
17,Changi,1.352516,103.987006967412
18,Simei,1.3432581000000001,103.9542015
18,Tampines,1.3546528,103.94357120000001
18,Pasir Ris,1.37598905,103.95435974921301
19,Serangoon Garden,1.3498066,103.8737713
19,Hougang,1.3733601,103.8860907
19,Punggol,1.4052551000000002,103.9023538
20,Bishan,1.3514551000000001,103.8482628
20,Ang Mo Kio,1.369842,103.8466086
21,Upper Bukit Timah,1.3294483999999998,103.794166
21,Clementi Park,1.3140256000000001,103.7624098
21,Ulu Pandan,1.3083761999999999,103.7881606
22,Jurong,1.333115,103.7422968
22,Tuas,1.3293722,103.6482364
23,Hillview,1.3623476,103.7671612
23,Dairy Farm,1.3651581,103.7740781
23,Bukit Panjang,1.377921,103.7718658
23,Choa Chu Kang,1.3892601,103.743728
24,Lim Chu Kang,1.4342172,103.7149872
24,Tengah,1.3669016999999999,103.71084559999998
25,Kranji,1.4252189,103.7619891
25,Woodgrove,1.42913595,103.78125034810199
25,Woodlands,1.4368969999999999,103.78621600000001
26,Upper Thomson,1.354498,103.832820550675
26,Springleaf,1.398315,103.81805726106899
27,Yishun,1.428136,103.83369420000001
27,Sembawang,1.4151903000000001,103.8052074
28,Seletar,1.4170201999999998,103.868081811126
